# Folkets lexikon sv→en (CC BY-SA 2.5)
# 36329 entries from folkets-lexikon.csc.kth.se
-procentig	per cent
picka	peck
picknick	picnic
picknickkorg	picnic basket
pickup	pick-up
piedestal	pedestal
pietet	reverence
piff	zest
piffa	spruce up
piga	maid
pigg	alert, spike, spirited
pigga upp	cheer up
piggare	alert, fresher; more alert, perkier
piggna till	buck (cheer) up
piggsvin	porcupine
piggvar	turbot
pigment	pigment
pigmentering	pigmentation
pik	dig, taunt
pika	taunt
pikant	piquant
piket	police van, (patrol wagon [US])
piketstyrka	swat team
pil	arrow, willow
pilbåge	Bow
pilgrim	pilgrim
pilgrimmsmussla	Pilgrim&#39;s Scallop, scallop
pilgrimsfalkar	peregrinefalcons
pilgrimsfärd	pilgrimage
pilgrimsmussla	scallop
pilgrimsort	Place of pilgrimage
pilla	pick (poke) at
piller	pill
pilot	pilot
pilot-	pilot-
pilotförsök	pilot test, pilot trials
pilotprojekt	pilot project, pilot study
pilotundersökning	pilot studie
pilsner	Pilsner (beer), lager
pilspets	arrow head, arrow point, arrowhead, arrowpoint
pilträd	willow
pimpla	jig, tipple
pimpsten	pumice
pina	pain, suffering, torment
pinaler	things
pincett	forceps, tweezers
pingis	ping-pong
pingisboll	ping pong ball
pingisspelare	ping pong player, table tennis player
pingistävling	table tennis competition
pingla	tinkle
pingpong	ping-pong
pingpongspel	game of ping pong
pingpongspelet	ping pong, ping-pong game
pingst	Whitsun
pingst|kyrkan	the Pentecostal Movement
pingst|lilja	(white) narcissus
pingst|rörelsen	the Pentecostal Movement
pingst|vän	Pentecostalist
pingvin	penguin
pinka	have a pee
pinknödig	needing to pee
pinne	stick
pinsam	awkward
pinsamhet	embarrassment
pinsamheterna	embarrassments
pinsamt	embarrassing
pion	peony
pionjär	pioneer
pionjärperiod	pioneer period
pip	peep, spout
pipa	pipe, whine, whistle
pipande	wheezing
pipeline	pipeline
pippa	have sex with
pippi	dickie-bird, birdie
piprensare	pipe cleaners
pir	pier
pirat	pirate
pirat-	pirate-
piratkopia	bootleg, pirat copy, pirate copy, pirated copy
piratskepp	pirate ship
pirattryck	fake copy
pirog	pirogue, piroshki
pirra	tingle
pirrig	jittery
piruetter	pirouette, verticals
pisk	whipping
piska	whip
piskad	spanked, beaten, lashed
piskslag	whip, whiplash
piss	piss
pissa	piss
pissoar	urinal
pist	piste
pistasch	pistachio
pistaschmandel	pistachio nut, pistasch almond
pistol	pistol
pistolkolv	pistol grip, pistol stock
pistolskytt	gun shooter
pitabröd	pita bread
pitt	cock, prick
pittoresk	picturesque
pizza	pizza
pizzabageri	pizza bakery
pizzeria	pizzeria
pjoska	pamper
pjäs	piece, piece (object), play
pjäxa	boot
pjåkig	namby-pamby
pjåskig	squeamish
placera	place
placerad	placed
placering	place
pladder	babble
pladdra	babble
pladdrig	Babble, Empty talk, heading, pacer
plagg	garment
plagiat	plagiarism
plakat	placard, poster
plakett	plaque, plaquette
plan	aircraft, field, floor, ground, level, map, plan, plane
plana	flatten (out)
planenlig	according to plan
planera	plan
planerad	planned
planering	planning
planeringscykel	planning process
planeringsenhet	planning unit
planeringsmetod	method of planning
planeringsperiod	planning horizon
planeringssamtal	planning dialogue
planet	planet
planetbana	planet orbit, planetary orbit
plangeometri	plane geometry
plank	fence (of wide planks)
planka	board
plankton	plankton
planlägga	plan
planlöst	planlessly
planmässig	according to plan
plansch	wall chart
planta	seedling
plantage	plantation
plantera	plant
plantering	planting
plant|skola	nursery
plan|ekonomi	planned economy
plan|lös	random, unplanned
plan|lösning	design (planning)
plask	splash
plaska	splash
plaskvåt	soaking wet
plast	plastic
plastbelägga	laminate
plastbricka	plastic plate, plastic tag, plastic tray
plastburk	plastic container, plastic jar
plastbyxa	plastic pants
plastdunk	plastic can
plastfilm	plastic wrapping
plastflaska	plastic bottle
plastförpackning	plastic box/bag
plastik	plastic
plastikkirurg	plastic surgeon
plastik|kirurgi	plastic surgery
plastkapsel	plastic capsule
plastkasse	plastic bag, plasticbag
plastlock	plastic lid
plastlåda	plastic box
plastmaterial	Plastics
plastmatta	linoleum flooring
plastmugg	concret, plasic cup, plastic cup, plastic mug
plastväv	plastic sheeting
plast|folie	(plastic) film wrap, cling film
platinalegering	liability, platinum alloy
platonisk	platonic
platonism	Platonism
platonska	platonic
plats	job, place, position, room
platsa	fit in, qualify for a position
platsbrist	lack of space
platsjournalen	list of vacancies
plats|ansökan	job application
plats|biljett	seat reservation ticket
platt	flat, trite
platta	board, plate
platta till	flatten, squash
plattityd	platitude
platt|form	platform
platå	plateau
plausibel	plausible
playboy	playboy
plenar|sammanträde	plenary meeting (session)
plenum	full (plenary) meeting
pli	discipline, manners
plikt	duty
plikta	pay (a penalty)
pliktmedvetande	sense of duty
pliktmänniska	duty committed, duty person, reliable person
pliktskyldigast	dutifully
pling	tinkle
plisserad	pleated
plit	prison guard
plock	pick
plocka	pick, gather, pluck
plockmogen	ripe for the picking
plog	plough
ploga	plough
plogbill	snowplough
plogfordon	tractor
plogfåra	Drar, excpence, table, trenchline
ploj	ploy
plomb	filling, seal
plommon	plum
plommonstop	bowler hat
plottra	potter about
plottrig	confused, messy
plufsig	bloated
plugg	cramming, plug, stopper, swotting
plugga	cram, plug, study, swot
plugg|häst	swot
plump	blot, coarse, rude
plumsa	flop
plundra	loot, plunder, rob
plundring	loot, looting, luting, plundering
plundringar	appliances, looting, lootings
plundringen	looting
plunta	pocket (hip) flask
plural	plural
pluralism	pluralism
pluralistisk	pluralistic
pluralistiska	pluralistic
plus	plus
pluskvamperfekt	past participle
plussa	add
plussida	positive side, pro
pluton	platoon
plutonium	plutonium
plym	plume
plysch	plush
plyschmöbel	soft furniture
pläd	(travelling) rug, plaid
plädera	plead
plädering	plea
plätt	small pancake, spot
plättlagg	pancake iron
plåga	pain, torment, torture
plågad	Abused, tormented
plågare	tormentor
plågo|ande	tormentor
plågsam	Painfull, excruciating, painful
plågsamhet	painfullness, painfulness
plån	striking surface (of a matchbox)
plån|bok	wallet
plåster	(Band-Aid [US]), plaster
plåsterlapp	plaster
plåstra om	dress
plåt	baking tin, plate, sheet metal
plåta	photograph, take a picture of
plåtsax	hake
plåtskrin	sheet metal box
plåt|slagare	sheet-metal worker
plöja	plough
plötslig	sudden
plötsligen	all of a sudden, stowing, suddenly
plötsligt	suddenly
pm	memo
pneumatisk	pneumatic
po	the Press Ombudsman
pochera	poach
pocka	insist
pocket	paperback (book)
pocketkamera	pocket camera
pocketupplaga	paperback edition, pocket edition
pocket|bok	paperback book
podium	platform, podium, rostrum
poem	poem
poesi	poetry
poet	poet
poetisk	poetic
pojke	boy
pojkgäng	gang of boys
pojklag	boy team, boys team
pojk|streck	boyish prank
pojk|vasker	young shaver
pojk|vän	boyfriend
pokal	cup, goblet
poker	poker
pokerparti	poker game
pokerspel	poker, poker game
pokerspelare	poker player, poker players
pol	pole
pol mag	M.Pol.Sc., Master of Political Science
polack	Pole
polar	polar
polare	mate, pal
polarforskning	polar research
polaris	polar ice
polarisera	polarize
polariserad	polarised
polarisering	polarisation
polcirkel	Polar circle
polemik	polemic
polemisera	carry on a controversy
polemisk	polemic(al)
polen	poland
polera	polish
polerad	polished, suave
policy	policy
poliklinik	outpatients&#39; department, polyclinic
polio	polio
polioskadad	polio damage, suffering from Polio
polis	police, policeman
polisbefäl	police chief
polisbil	police car
polischef	chief inspector
polishus	police building
polislås	police lock
polismakt	police power
polisong	sideboards, sideburns
polispatrull	friends, police patrol, police unit
polispersonal	Law enforcement personnel
polisregister	police records
polisstyrka	police force
polistjänsteman	police officer
polisuniform	police uniform
polisvakt	Police guard?, police protection
polis|man	policeman
polis|mästare	police commissioner, commissioner of police
polisövervakning	police surveilance, survailance
politik	policy
politiker	politician
politiker|förakt	mistrust of (contempt for) politicians
politisera	politicise, politicize
politisering	politicisation
politisk	political
politisk-ekonomisk	poli-economic, political-economic
politiskt	political
politruk	political bureaucrat, politically appointed civil servant
polityr	polish
polka	polka
polka|gris	peppermint rock
pollen	pollen
pollenkorn	pollen grain, pollenseed
pollettera	have luggage (baggage) registered
polo|tröja	polo-neck (turtle-neck) sweater
polsk	Polish
polsk-litauisk	polish-lithuanian
polska	Polish, Swedish dance (reel)
polycentrisk	polycentric
polycykliska	polycyclic
polyglott	polyglot
polymerisering	polymerization
polymorfa	polymorphic
polynesisk	Polynesian
polysackarid	poly sackarid
polyuretan	polyurethane
polyuretanskum	polyurethane foam
pomerans	Seville orange
pommes frites	(French fries [US]), chipped potatoes, chips
pomp	pomp
pompa	pomp
pompöst	pompous
pondus	authority
ponke	lad
ponny	pony
ponnyhäst	pony
pontonbro	pontoon bridge
pop	pop
popartist	popstar
popcorn	popcorn
poplåt	pop song, pop tune
poppis	popular
popsångare	pop artist, pop singer
popularisera	popularize
popularitet	popularity
population	population
populism	populism
populistiska	populistic
populär	popular
populärkonst	pop art, popular arts
populärroman	popular novel
por	pore
porla	murmur, purl, ripple
pormask	blackhead
pornografi	pornography
pornografisk	pornographic
porr	porn, porno
porrig	Susceptibility, naughty
porslin	porcelain
porslinsaffär	china store
porslinsblomma	porcelin flower
porslinsfabrik	porcelain factory, pottery
porslinsfat	China plate, porcelain plate
porslinsfigur	porcelain figure
porslinshund	porcelain dog, porcelaindog
porslinskatt	china cat, porcelain tax
porslinspotta	china potty
porslinstallrik	china plate, porcelain plates
porslinstillverkning	china manufacturing, porslainfabrication/production
port	(street)door, gate(way), front door, street door
portabel	portable
porter	porter
portfölj	briefcase, dispatch case
portier	receptionist, reception clerk, hall porter
portion	portion
portionera	portion (ration) out
portionering	portioning
portionsförpackad	portion packed
portkod	entry code
portmonnä	purse
porto	postage
porträtt	portrait
porträttmålare	Portrait painters, portrait painter
porträttmålning	portrait painting
porträttstudie	portrait study
portugis	Portuguese
portugisisk	Portuguese
portvin	port
portvinsbutelj	bottle of port
port|vakt	doorkeeper, gatekeeper, porter
porös	porous
pose	pose
posera	pose
poserande	posing
poseringsflicka	poser girl, posing girl, poster girl
position	position
positiv	barrel organ, positive, the positive
positivitet	positivity
positivt	positive
possessiv	possessive
post	entry, item, mail, position, post, post office, post, frame
post-	post-
posta	post
postavgift	postage fee
postbefordra	send by mail
postdistrikt	postal area, postal district, postal zone
poste restante	poste restante, general delivery
postering	picket
postfack	mail slot
postföretag	Mailcompany
postgymnasial	post-gymnasial, post-secondary
posthus	post office
postiljon	mail man
postindustriella	post-industrial
postinspektör	postal inspector
postkommunistisk	post communist
postlåda	Mailbox
postmodernistisk	postmodernistic
postnummer|katalog	postal code directory
postogram	postogram
postombud	postman
postoperativa	post-operative, postoperative, pre surgion
postorder|företag	mail order company
postpaket	postal package
postposition	postposition
postreklam	direct mailing
poströst	postal voting
postskriptum	postscript
posttaxa	postal tax
postverket	The Post Office Administration
postväxel	bank money-order
post|adress	postal address
post|box	post office box
post|förskott	cash on delivery
post|gång	postal service
post|nummer	post code, (zip code [US])
post|order	mail order
post|röstning	postal voting
potassium	kalium
potatis	potato
potatisbulle	potato bun, potato cake
potatischips	crisps, potato chips, potato crisps (british english)
potatiskastrull	potato pot
potatisland	Potato land, potato field
potatisodlare	Potatoefarmer, potato farmer, potato grower, potatoe farmer
potatisplanta	potato plant
potatissallad	potato salad, potatoe salad
potatisskal	potato peel
potatisskalning	potato peeling
potatisskördemaskin	potatoe harvester
potatissoppa	potato soup
potatissort	potato varieties
potatisstärkelse	potato starch
potatissäck	sack of potatoes
potatisväxt	potato plant
potatisåker	potato fields
potens	potency
potential	potential
potentialskillnad	potential difference
potentiell	potential
potentiera	potentiate
potentiering	potentiation
potpurri	musical medley (potpourri)
pott	pot
potta	chamber pot (pot, potty)
poäng	point, punch line
poängbelastning	tactics
poängförlust	loss on points
poängställning	score
poängsumma	sum
poängsättning	score
poängtal	number of points, score
poängtera	emphasize, point out
poäng|år	point-scoring year, year qualifying for supplementary pension under the ATP scheme
ppm	ppm
pr	PR, public relations
pracka på	foist sth. (fob sth. off) on sby
pragmatisk	pragmatic
pragmatiskt	pragmatically
prakt	splendour
praktik	Middigate, dumb, experience, internship, practice, training
praktikant	probationer, trainee
praktikantlön	trainee-, intern-, apprentice salary, traineesalary
praktikvana	möjliggöra, practical work experience
praktisera	practice
praktiserande	intern, practicing
praktisering	traineeship
praktisk	practical
praktiskt	practical, practically
prakt|full	splendid
pralin	praline
prao	job experience (while at secondary school), practical working experience
prassel	rustle
prassla	rustle
prat	talk
prata	talk
pratglad	talkative
pratig	talkative
pratsam	talkative
pratshower	talkshows
prat|kvarn	chatterbox
prat|makare	chatterbox, talker, windbag
prat|sjuk	garrulous, very talkative
prat|stund	chat
praxis	custom, practice
precedensfall	precedence case
precis	exact, precise, exactly, precisely
precisera	specify
precision	precision
precisionsmätning	precision measurement
precisionsverktyg	precision tool
precist	exact
predika	preach
predikan	sermon
predikant	preacher
predikare	preacher
predikat	predicate
predikstol	pulpit
prefekt	head of a university department, prefect
preferens	preference
prefix	prefix
pregnant	pregnant
preja	hail (a ship and command it to heave to)
prejudicerande	precedential
prejudikat	precedent
prekär	precarious
preliminär	preliminary
preliminäravgift	preliminary fee, prliminary fee
preliminär|skatt	preliminary tax (at source)
premie	bonus, premium, reward
premiera	reward
premie|obligation	premium bond
premiss	premise
premium	premium, prize
premiär	opening night, première
premiärbiograf	cinema premiere
premiär|minister	prime minister
prenumerant	subscriber
prenumeration	prenumeration, refutation, subscription, subscriptions
prenumerera	subscribe
preparandkurs	preparatory course
preparat	preparation, slide
preparera	prepare
preposition	preposition
presenning	tarpaulin
presens	present
present	present
presentabel	presentable
presentatörer	presenters
presentera	introduce
presentkort	giftcard
preservativ	preservative
president	president
presidentbeslut	President&#39;s decision
presidentpalats	Presidential palace, president palace, presidential castle, presidents palace
presidentvalet	presedent election, president election
preskribera	declare a crime statute-barred (no longer punishable)
preskription	limitation
press	press, strain
pressa	press, put pressure on, squeeze
pressad	squeezed
pressad, stansad	pushed, stamped
pressande	oppressive
pressbyråkiosk	Swedish convenience store, swedish convinient store
pressjärn	iron
pressklipp	media clippings
pressmeddelande	press release
pressombudsmannen	the Press Ombudsman
pressrum	press room, pressroom
presstöd	press subsidy
press|byrån	Press|byrån
press|release	press release
prestanda	performance
prestandakrav	performance requirement (-s)
prestation	achievement, performance
prestationsduglig	performance-capable
prestationsnorm	performance standard
prestera	do, perform
prestige	prestige
presumtiv	prospective, presumptive, proposed
pretendent	pretender
pretention	pretention
pretentiös	pretentious
pretentiösa	pretentious
preteritum	preterite tense
preventiv	preventive
preventivmedels|rådgivning	contraceptive advice
preventiv|medel	contraceptive
prick	fellow, guy, penalty point, spot, dot
pricka	censure, hit
pricka av	tick off
prickig	dotted, spotted
prickmönster	dot pattern
prickskjutning	sharp shooting
prickskytt	Marksman, sniper
prick|fri	with no penalty points
prilla	pinch of snuff
prima	first-rate
primalskrik	primal scream
primalterapi	primal therapy
primater	apes, primates
primitiv	primitive
primitivitet	primitivity
primtal	prime number
primär	primary
primärgrupp	primary group
primärkälla	primary source, primordial source
primärminne	primary memory
primäruppgift	primary task
primärval	primaries, primary, primary election
primärvalen	primaries
primärvård	primary care
primör	early produce
princip	principle
principdebatt	debate regarding principle
principfråga	principle issue
principiell	of principle
prins	prince
prinsessa	princess
prins|korv	chipolata, small frying sausage
printer	printer
prioner	prions
prioritera	give priority to, prioritize
prioriterad	prioritized
prioritering	Priority
prioriteringsfråga	priority issue
prioritet	priority
pris	pinch, price, prize
prisa	praise
prisbedöma	to assess price
prisbelöna	award
prisbelönad	awarded
prisbelönt	Award-winning
prisförändring	price change
prishöjning	emergent, increase in price, increase of prices, price increase, prize increase
prisjakt	price hunt
prisjägare	bounty hunter
prisjämförelse	price comparison
prislapp	price tag, price tag??, pricetag, prize tag
prisma	prism
prismärkning	price tag
prisnedsatt	reduced, reduced price, refound
prisnedsättning	discounts
prispolitik	price or pricing policy
prisras	price drop, price fall
prisreglera	price regulation, regulate the price
prisreglering	price control
prisskillnad	price difference
prissänkning	lowering of price, price reduction
prissättning	pricing
pristagarna	prizewinners
pristagarnas	prizewinners
pristak	price cap
pristina	surt
prisutveckling	price trends
pris|tagare	prizewinner
pris|värd	cost-effective, price worthy, price|value, value for money, worth its price
prisövervakning	Prices Surveillance, price monitoring
privat	private
privatangelägenhet	private matter
privatanställd	private servant
privatbostad	private home
privatbruk	personal use
privategendom	private property
privatelev	private student
privatflygplan	private aircraft
privatintresse	Private interest
privatisera	privatize
privatiserad	privatized
privatkapital	private savings
privatkund	personal customer
privatlärare	tutor
privatperson	citizen, private person, private; nonpublic person
privatskola	private school
privatsköterska	private nurse
privat|liv	private life
privat|praktiserande	in private practice
privat|sak	personal (private) matter
privilegierad	privileged
privilegium	privilege
pro	PRO
pro-	pro-
proamerikanism	pro-americanism, proamericanism
proamerikanska	America friendly
problem	problem
problematik	complex of problems
problematisk	problematic
problemfri	problem-free
problemlösning	problem-solving
problem|ställning	presentation of a problem
proc	per cent
procedur	procedure
procent	per cent
procenthalt	percentage
procentuell	calculated (expressed) as a percentage
process	case, lawsuit, legal action, process
processa	bring an action (against sby)
processbaserad	process oriented
processindustri	Process industry
procession	procession
processionsordning	order of procession
processkemi	blurb, process chemistry
processorhastighet	Processor Speed
processtyrning	process management
processutveckling	process development
producent	producer
producera	produce
producerad	produced
produkt	product
produktchef	Product Manager, intrinsic, production manager
produktion	production
produktionsanläggning	Production Facility, production plant
produktionsapparat	production device
produktionsbolag	production agency/form, production company
produktionschef	Production Manager, production chief
produktionsfaktor	factors of production, production factor
produktionsinriktad	production driven
produktionskostnad	production costs
produktionsnivå	production level
produktionsordning	order of production
produktionsplan	production plan
produktionsprocess	production process
produktionsrelaterad	production-related
produktionssiffra	production figures
produktionssystem	production system
produktionstakt	production pace, production pace, tact time, production rate, productionspeed
produktionsväg	street viy
produktiv	productive
produktivitet	productivity
produktivitetsorienterad	productivity oriented
produktivitetsspiral	productivity spiral
produktivitetsutveckling	productivity development
produktivitetsökning	productivity increase, productivity increasment
produktområde	product range
produktrelaterad	product-related
produktutveckling	product development
profan	profane, secular
professionalitet	iclet
professionell	professional
professor	professor
professorskompetent	professor competent
professur	chair, professorship
profet	prophet
profetia	prophecy
profetissa	dispatch, prophetess
proffs	pro
proffsboxare	professional boxer
proffsförklara	declare a pro
proffsig	professional
proffsighet	professionality
profil	profile
profilfråga	profile question
profit	profit
profitera	profit by, take advantage of
profithunger	greed
profitjakt	profit hunting
profitörer	profiteer
profylaktisk	prophylactic
profylax	preventive medicine, prophylaxis
progesteron	progesterone
prognos	prediction, prognosis
prognostisering	forecasting
program	(program [US]), program, programme, software
programannonsör	program advertiser
programland	Programme Country
programledare	host
programmatiskt	programmatic
programmera	programme
programmerad	programmed
programmerare	programmer
programmering	programming
programmeringsspråk	programming language
programmusik	program music
programspråk	programming language
programstyrd	program controlled
programutveckling	software development
programvara	software
programvaruutvecklare	software developer
program|enlig	according to the programme
program|förklaring	manifesto, policy statement
progressiv	progressive
progressiv beskattning	progressive taxation
progressivitet	progressiveness, progressivity
projekt	project
projektanbud	lie, offer, project offer, project offering, projectoffer
projektanslag	project funding
projektdeltagare	particippator of the project
projektera	plan, project
projektering	planning
projekteringsarbete	project-work
projekteringskostnad	Project Cost
projektgrupp	project group
projektil	projectile
projektinriktad	project focused
projektion	projection
projektor	projector
projicera	project
proklamera	proclaim
proletariat	proletariat
proletär	proletarian
prolog	prologue
promaoistiska	pro maoistic, pro-maoist
promemoria	memo, memorandum
promenad	walk
promenadstråk	pedestrian precinct
promenera	walk
promille	per thousand (mille)
prominent	prominent
promotion	ceremony of conferment of doctor&#39;s degrees
promotor	promoter
promovera	confer a doctor&#39;s degree
promovering	promotion
prompt	absolutely, promptly
pronomen	pronoun
propaganda	propaganda, publicity
propagandakampanj	propaganda campaign
propagandist	happy midsummer
propagera	propagandize, propagise, spread propaganda
propeller	propeller
propellerblad	analyst
propellrarna	the propellers
proper	neat, clean, tidy
proportion	proportion
proportionalitetsprincipen	driver, principel of proportions, principle of proportions
proportionell	proportional
proportionell beskattning	proportional taxation
proportionellt	in proportion
proportionera	proportion, proportionate
proportionerlig	proportionate, shapely, well-built
proposition	government bill
propp	fuse, plug, stopper
proppa	block, cram, stuff
propp|full	cram-full
propp|mätt	full up
propsa	insist on
propå	proposal
prosa	prose
prosaisk	commonplace, prosaic
prosit	God bless you!
prospekt	prospectus
prospektera	prospect
prost	dean
prostata	prostate
prostatacancer	prostate cancer
prostituera sig	prostitute oneself
prostituerad	prostitute
prostitution	prostitution
protegé	protégé(e)
protein	protein
proteinberikad	protein-enriched
protektionism	protectionism
protektionistisk	protectionist
protektionistiskt	protectionistic
protektorat	protectorate
protes	artificial limb, prosthes(is)
protest	protest
protestant	Protestant
protestanter	protestants
protestantisk	Protestant
protestantism	Protestantism
protestera	protest
protestmöte	protest meeting
protestsångare	protest singer, protest singers
protokoll	minutes, record
protokolljustering	protocol adjustment
prototyp	prototype
prov	examination, sample, trial, test, experiment
prova	try out, test
provanställning	employment during probation period, probationary employment, probationary employment period, probationary period
provbild	sample image
provborrning	trial drilling
provfilma	Mistress, audition
provflyga	test fly, test flying
provflygare	test pilot, testpilot
provflygning	test flight
proviant	provisions, victuals
proviantör	supplier, supplier, provider, supplior
provins	province
provinsialism	provincialism
provinsiell	provincial
provinsomfattande	province-wide
provinsstyre	canting, local government, regional council
provision	commission
provisorisk	temporary
provisorium	distructing, provisional
provköra	test drive
provleverans	sample delivery
provning	test, test, exam, check up
provningsanstalt	testing institute
provocera	provoke
provocerande	provocative
provokation	provocation
provokativ	provocative
provperiod	probationary period, trial period
provrummet	changing room, fitting room
provrörsbefruktning	Artificial insemmination, in vitro ferlitization, in vitro fertilization, in vitro fertilization (IVF)
provsitta	try out
provskjuta	test shoot
provsmaka	taste
provsmakning	taste test, tasting
provsvar	result
provtagning	sampling
provundersökning	trial survey
prov|hytt	fitting room
prov|rör	test tube
prov|stopp	(nuclear) test ban
provåkning	testrides
provår	trial year
proxy	ställföretradare
prunka	be resplendent (dazzling)
pruta	bargain, haggle
prutmån	margin
prutta	fart
pruttljud	fart sounds
prv	the Swedish Patent and Registration Office
prya	do one&#39;s practical vocational experience
pryd	prudish
pryda	adorn, be decorative, decorate
prydlig	neat
prydlighet	neatness
prydnad	adornment, decoration, ornament
prydnadsföremål	decoration, decorative object, ornamental decoration
prydnadssaker	Decoration
prygel	flogging
prygla	flog
pryl	gadget, thing
pryo	practical vocational orientation
prägel	impression, mark, stamp
prägla	characterize
präglad	marked
prägling	dock, minting, stamp
präktig	fine, splendid
pränt	print
pränta	print, write clearly (carefully)
prärie	prairie
präriebrand	bredd, prairie fire
präst	clergyman, priest
prästdräkt	priest&#39;s robes
prästerlig	INTENT, priestly
prästerskap	clergy, priesthood
prästman	cleric
prästrock	priestly vestments
prästviga	ordain
präst|gård	rectory, vicarage
präst|krage	ox-eye daisy
prål	ostentation
pråla	show off
pråm	barge, lighter
prång	alley, narrow passage
prångla ut	(try to) sell (sth.) with unfair methods
pröjsa	pay for
pröva	try (out)
prövande	searching, trying
prövning	examination, trial
prövningsbara	checkable
prövoperiod	trial period
prövosten	testing stone
ps	ps
psalm	psalm
psalmisten	Orthoses, the psalmist
psalmsång	psalms
pseudo-	pseudo-
pseudodemokrati	pseudo-democracy
pseudonym	pseudonym
pseudorättsliga	pseudo-legal
pseudovetenskap	pseudo science
psoriasis	psoriasis
psyka	psych out
psyke	mentality, psyche, psychiatric clinic
psykiater	psychiatrist
psykiatri	psychiatry
psykiatrisk	psychiatric
psykisk	mental, psychic
psykiska barn- och ungdomsvården	the PBU mental care service for children and young persons
psykiskt	mentally
psykoanalys	psychoanalysis
psykoanalytiskt	psychoanalytically
psykolog	psychologist
psykologi	psychology
psykologisera	psychologize
psykologisk	psychological
psykopat	psychopath
psykopati	psychopathy
psykopatisk	phycopathic, psychopathic
psykos	psychosis
psykosocialt	psychosocially, psycosocial
psykosomatisk	psychosomatic
psykoterapi	psychotherapy
psykotisk	psychotic
psyko|farmaka	psychotropic drugs
pub	pub, public house
pubertet	puberty
pubinnehavaren	pub owner
public relations	public relations
publicera	publish
publicerad	published
publicering	Publishing
publicist	publicist
publicistisk	petronis
publicitet	publicity
publik	audience
publikation	publication
publikframgång	audience success
publikrekord	attendance record, spectator record
publik|friande	playing to the gallery
puck	puck
puckel	hump
puckelryggighet	hunchback
puckla på	bash, wallop
pudding	crème, pudding, smasher, dish
pudel	poodle
puder	powder
pudersnö	powdersnow
pudersocker	powder sugar, powdered sugar
pudra	powder
puff	puff, push
puffa	puff, push
puffra	pistol, shooter
pulka	(small) sledge
pulkabacken	sledding hill
pullover	pullover
puls	pulse
pulsa	trudge
pulsera	beat, pulsate, throb
pulsslag	puls, pulse
pulsvärmare	pulsed heater
pulver	powder
pulveriserad	powdered
pulversläckare	powder fire extinguisher
pulvrisera	pulverize
puma	cougar, puma
pump	pump
pumpa	pump, pumpkin, vegetable marrow
pumpar	pumps
pumphus	pump house
pumps	court shoes
pumpstation	pump station, pumping station
pund	pound
pundare	junkie
pung	pouch, scrotum
punga ut	fork out, pay
pungbjörn	opossum
punk	punk
punkrock	punk rock
punkt	full stop, item, point
punktera	puncture
punktering	flat, puncture
punktersäker	puncture safe
punktlig	punctual
punktsvetsa	spot welding
punktuell	cleavage
punkt|skatt	selective purchase tax
punkt|skrift	braille
punsch	Swedish punch (arrack)
pupill	pupil
puppa	pupa
pur	pure
pur-	very
puristen	purist
purister	purists
puristisk	purist
puritan	puritan
puritansk	puritanical
purjo|lök	leek
purpurfärg	purple color
purpur|färgad	purple
pur|ung	very young
puré	purée
puss	kiss, puddle
pussa	kiss
pussas	kissing
pussel	jigsaw puzzle
pussel|bit	piece of a (jigsaw) puzzle
pussla	do a (jigsaw) puzzle
pust	gust
pusta	pant, puff
put	PUT permanent residence permit
puta	bulge out, stick out
puts	plaster
putsa	polish
putsas	polishing
putsmedel	polish
putta	push
puttra	bubble, simmer
puttrigt	cosy
pyjamas	pyjamas
pylon	pylon
pynt	decorations
pynta	decorate
pyra	smoulder
pyramid	pyramid
pyramidformad	pyramid shaped
pyramidformig	pyramid shaped
pyre	mite, tiny tot
pyroforisk	pyrophoric
pyroman	pyromaniac
pyromani	Pyromania
pyroteknisk	pyrotechnic, pyrotechnical, pyrotechnics
pyrotekniska	pyrotechnic, pyroteknic
pys	little boy
pysa	buzz off, go, hiss
pyspunka	slow puncture
pyssel	pottering
pyssla	busy oneself, potter about
pyssling	gnome, leprechaun
pyton	awful
pytonorm	Python
pyts	(small) bucket
pytsa	spread
pytte|liten	tiny
pyttipanna	fried diced meat with onions and potatoes
päls	fur
pälsbesatt	fur-obsessed
pälsdjuren	fur animals, furanimals
pälsjacka	fur coat, fur jacket, furcoat
pälskappa	fur coat, uninhibited
pälskrage	fur collar
pälsmössa	fur cap
pälsvaruaffär	fur goods shop
pälsverk	fur, fur garment
pärla	pearl
pärlemo(r)	mother-of-pearl
pärlemorglans	mother-of-pearl lustre, pearlshine
pärlemorknapp	mother-of-pearl button
pärlemorskimrande	mother-of-pearl shine
pärlhalsband	pearl necklace
pärlhöna	Guinea-hen / Pintado
pärluggla	Boreal Owl, Owl
pärm	binder, cover, folder, file, folderr, binder
päron	pear
pärs	ordeal
på	after, at, at etc., during, in, of, on
på andra vis	in other ways
på banan	on track
på sikt	In time
på tok	wrong
påbjuda	decree
påbrå	stock
påbud	decree
påbörja	begin
påbörjad	initiated
pådrivare	instigator, prompter
pådrivning	uppmuntran
pådyvla	impute
påfallande	remarkable, striking
påfart	slipway (on to a motorway)
påflugen	insolent, intrusive
påfrestande	trying
påfrestning	strain
påfund	invention
påfylla	fill up
påfyllnad	Refil, refill
påfyllning	filling up, replenishment
påfågel	peacock
påfågelsfjäder	peacock feather
påföljande	next
